led_id,row,col,brightness,r,g,b,interpolated,detection_method,measurement_method
40,1,7,168.9606776859504,88.14049586776859,202.8512396694215,206.4297520661157,False,grid,direct
41,1,8,134.2085950413223,51.98347107438016,168.4793388429752,173.40495867768595,False,grid,direct
42,1,9,106.65508264462808,39.02479338842975,134.40495867768595,141.1487603305785,False,grid,direct
43,1,10,138.24929752066114,75.60330578512396,163.92561983471074,170.34710743801654,False,grid,direct
44,1,11,164.89670247933884,105.65289256198348,189.1487603305785,195.40495867768595,False,grid,direct
45,1,12,166.97954545454544,107.2396694214876,191.4297520661157,197.76859504132233,False,grid,direct
46,1,13,119.5825950413223,59.04132231404959,144.59504132231405,149.5785123966942,False,grid,direct
47,1,14,94.10190909090907,40.396694214876035,116.20661157024793,121.14049586776859,False,grid,direct
48,1,15,140.08576859504132,82.85123966942149,163.59504132231405,169.1487603305785,False,grid,direct
49,1,16,149.80468595041322,86.94214876033058,175.8099173553719,180.77685950413223,False,grid,direct
50,1,17,159.52161983471075,96.65289256198348,185.3305785123967,191.5206611570248,False,grid,direct
51,1,18,151.5587685950413,84.40495867768595,179.1900826446281,185.41322314049586,False,grid,direct
52,1,19,157.88071074380161,90.72727272727273,185.93388429752065,189.56198347107437,False,grid,direct
53,1,20,154.56681818181818,84.85950413223141,183.4297520661157,188.77685950413223,False,grid,direct
54,1,21,179.3170082644628,104.50413223140495,210.50413223140495,214.9504132231405,False,grid,direct
55,1,22,176.62323966942148,96.36363636363636,210.13223140495867,214.58677685950414,False,grid,direct
56,1,23,172.43152066115704,90.67768595041322,206.49586776859505,211.45454545454547,False,grid,direct
57,1,24,165.7328429752066,81.59504132231405,200.70247933884298,206.34710743801654,False,grid,direct
58,1,25,162.20635537190083,75.15702479338843,198.43801652892563,203.95867768595042,False,grid,direct
59,1,26,106.48078512396694,20.570247933884296,142.1487603305785,148.1487603305785,False,grid,direct
60,1,27,145.437,67.38842975206612,177.84297520661158,183.28099173553719,False,grid,direct
61,1,28,113.52490082644627,31.876033057851238,147.3388429752066,153.56198347107437,False,grid,direct
62,1,29,98.86364462809918,36.81818181818182,124.23140495867769,130.97520661157026,False,grid,direct
63,1,30,110.45433057851238,50.83471074380165,134.93388429752065,140.77685950413223,False,grid,direct
64,1,31,89.578173553719,47.94214876033058,106.61157024793388,111.07438016528926,False,grid,direct
65,2,0,148.5432561983471,71.7603305785124,180.4214876033058,185.78512396694214,False,grid,direct
66,2,1,140.14513223140494,64.91735537190083,171.60330578512398,175.47107438016528,False,grid,direct
67,2,2,132.65186776859503,64.53719008264463,161.03305785123968,165.16528925619835,False,grid,direct
